timestamp,zone,hour,weekday,predicted_spot
2025-06-10T12:32:26.649642,A,12,1,A08
2025-06-10T12:32:43.902144,A,12,1,A08
2025-06-10T12:32:46.034602,A,12,1,A08
2025-06-10T12:32:47.481019,A,12,1,A08
2025-06-10T12:32:56.370067,A,12,1,A08
2025-06-10T12:32:58.563347,A,12,1,A08
2025-06-10T12:33:00.273899,A,12,1,A08
2025-06-10T12:33:55.756021,A,12,1,A08
2025-06-10T12:41:54.614694,A,12,1,A08
2025-06-10T12:41:55.884118,A,12,1,A08
2025-06-10T12:41:57.894813,A,12,1,A08
2025-06-10T12:41:59.221086,A,12,1,A08
2025-06-10T12:42:51.940198,A,12,1,A08
2025-06-10T12:42:55.696441,A,12,1,A08
2025-06-10T12:44:53.591694,A,12,1,A08
2025-06-10T12:44:56.397992,A,12,1,A08
2025-06-10T12:45:08.454495,A,12,1,A08
2025-06-10T12:45:42.350484,A,12,1,A08
2025-06-10T12:45:44.546133,A,12,1,A08
2025-06-10T12:45:46.033624,A,12,1,A08
2025-06-10T12:45:48.475251,A,12,1,A08
2025-06-10T12:45:52.362483,A,12,1,A08
2025-06-10T12:51:49.604693,A,12,1,A08
2025-06-10T12:51:54.178975,A,12,1,A08
2025-06-10T12:51:55.241437,A,12,1,A08
2025-06-10T12:51:56.934583,A,12,1,A08
2025-06-10T12:52:42.673582,A,12,1,A08
2025-06-10T13:32:18.354698,A,13,1,A05
2025-06-10T13:33:50.434211,A,13,1,A05
2025-06-10T13:35:39.984028,A,13,1,A05
2025-06-10T13:35:43.934198,A,13,1,A05
2025-06-10T13:35:48.048472,A,13,1,A05
2025-06-10T13:35:50.070675,A,13,1,A05
2025-06-10T13:48:38.513525,A,13,1,A05
2025-06-10T13:49:37.792644,A,13,1,A05
2025-06-10T13:50:32.838422,A,13,1,A05
2025-06-10T13:51:54.725257,A,13,1,A05
2025-06-10T13:51:57.066845,A,13,1,A05
2025-06-10T13:51:58.508845,A,13,1,A05
2025-06-10T13:52:04.849148,A,13,1,A05
2025-06-10T13:52:06.698972,A,13,1,A05
2025-06-10T13:52:09.475181,A,13,1,A05
2025-06-10T13:52:12.845247,A,13,1,A05
2025-06-10T13:54:27.942336,A,13,1,A05
2025-06-10T13:54:35.263548,A,13,1,A05
2025-06-10T13:57:32.986039,A,13,1,A05
2025-06-10T13:57:36.822710,A,13,1,A05
2025-06-10T14:06:50.779251,A,14,1,A07
2025-06-10T14:12:28.765409,A,14,1,A07
2025-06-10T14:12:30.882044,A,14,1,A07
2025-06-10T14:12:42.953873,A,14,1,A07
2025-06-10T14:12:47.159633,A,14,1,A07
2025-06-10T14:56:01.781472,A,14,1,A07
2025-06-10T14:56:05.254637,A,14,1,A07
2025-06-10T14:56:09.058459,A,14,1,A07
2025-06-10T14:56:31.263076,A,14,1,A07
2025-06-10T14:56:40.435392,A,14,1,A07
2025-06-10T14:56:43.014580,A,14,1,A07
2025-06-10T14:56:44.865921,A,14,1,A07
2025-06-10T15:01:25.970707,A,15,1,A07
2025-06-10T15:01:28.724803,A,15,1,A07
2025-06-10T15:01:35.647297,A,15,1,A07
2025-06-10T15:01:43.375647,A,15,1,A07
2025-06-10T15:01:46.767669,A,15,1,A07
2025-06-10T15:01:48.266891,A,15,1,A07
2025-06-10T15:01:52.000671,A,15,1,A07
2025-06-10T15:01:53.736332,A,15,1,A07
2025-06-10T15:01:55.503507,A,15,1,A07
2025-06-10T15:01:58.781444,A,15,1,A07
2025-06-10T15:02:01.400461,A,15,1,A07
2025-06-10T15:02:03.753567,A,15,1,A07
2025-06-10T15:02:06.714136,A,15,1,A07
2025-06-10T15:02:10.524048,A,15,1,A07
2025-06-10T15:06:15.858658,A,15,1,A07
2025-06-10T15:06:17.407757,A,15,1,A07
2025-06-10T15:06:22.043986,A,15,1,A07
2025-06-10T15:06:27.114097,A,15,1,A07
2025-06-10T15:06:30.028218,A,15,1,A07
2025-06-10T15:06:31.886619,A,15,1,A07
2025-06-10T15:06:34.249929,A,15,1,A07
2025-06-10T15:06:35.797755,A,15,1,A07
2025-06-10T15:06:37.268165,A,15,1,A07
2025-06-10T15:06:38.021026,A,15,1,A07
2025-06-10T15:06:38.773042,A,15,1,A07
2025-06-10T15:06:39.519668,A,15,1,A07
2025-06-10T15:06:40.287766,A,15,1,A07
2025-06-10T15:06:41.019170,A,15,1,A07
2025-06-10T15:06:41.777173,E,15,1,E06
2025-06-10T15:06:42.548245,E,15,1,E06
2025-06-10T15:06:43.283180,E,15,1,E06
2025-06-10T15:06:44.209278,E,15,1,E06
2025-06-10T15:06:45.706646,E,15,1,E06
2025-06-10T15:06:46.751441,E,15,1,E06
2025-06-10T15:06:47.928804,E,15,1,E06
2025-06-10T15:06:48.691624,E,15,1,E06
2025-06-10T15:06:49.466766,E,15,1,E06
2025-06-10T15:06:50.173692,E,15,1,E06
2025-06-10T15:06:50.903465,E,15,1,E06
2025-06-10T15:06:51.654481,E,15,1,E06
2025-06-10T15:06:52.982262,E,15,1,E06
2025-06-10T15:06:53.710757,E,15,1,E06
2025-06-10T15:06:54.496285,E,15,1,E06
2025-06-10T15:06:55.317855,E,15,1,E06
2025-06-10T15:06:56.462744,E,15,1,E06
2025-06-10T15:06:57.318262,E,15,1,E06
2025-06-10T15:09:18.867002,A,15,1,A07
2025-06-10T15:28:51.758768,A,15,1,A07
2025-06-10T15:28:58.617475,A,15,1,A07
2025-06-10T22:04:13.226560,A,22,1,A09
2025-06-10T22:29:17.636862,A,22,1,A09
2025-06-10T22:30:22.575701,A,22,1,A09
2025-06-10T22:36:51.910058,A,22,1,A09
2025-06-10T23:11:29.380680,A,23,1,A09
2025-06-10T23:12:41.230097,A,23,1,A09
2025-06-10T23:12:48.997514,A,23,1,A09
2025-06-10T23:12:53.055789,A,23,1,A09
2025-06-10T23:13:50.347496,A,23,1,A09
2025-06-10T23:14:00.217584,A,23,1,A09
2025-06-10T23:15:39.304245,A,23,1,A09
2025-06-10T23:23:42.673452,A,23,1,A09
2025-06-10T23:24:00.971448,A,23,1,A09
2025-06-10T23:24:03.999150,A,23,1,A09
2025-06-10T23:24:05.153463,A,23,1,A09
2025-06-10T23:24:06.642631,A,23,1,A09
2025-06-10T23:24:09.427867,A,23,1,A09
2025-06-10T23:24:11.649902,A,23,1,A09
2025-06-10T23:24:14.096609,A,23,1,A09
2025-06-10T23:24:21.094782,A,23,1,A09
2025-06-10T23:24:22.598145,A,23,1,A09
2025-06-10T23:24:30.569978,A,23,1,A09
2025-06-10T23:24:31.432034,A,23,1,A09
2025-06-10T23:24:35.453742,A,23,1,A09
2025-06-10T23:24:36.867545,A,23,1,A09
2025-06-10T23:24:38.435031,A,23,1,A09
2025-06-10T23:24:43.565632,E,23,1,E02
2025-06-10T23:25:32.013996,E,23,1,E02
2025-06-10T23:25:35.693408,E,23,1,E02
2025-06-10T23:25:38.250965,E,23,1,E02
2025-06-10T23:25:39.564570,E,23,1,E02
2025-06-10T23:25:44.251187,E,23,1,E02
2025-06-10T23:25:48.877777,E,23,1,E02
2025-06-10T23:25:50.740361,E,23,1,E02
2025-06-10T23:25:51.180359,E,23,1,E02
2025-06-10T23:25:54.961320,E,23,1,E02
2025-06-10T23:25:56.368389,E,23,1,E02
2025-06-10T23:25:59.831052,E,23,1,E02
2025-06-10T23:26:07.749306,E,23,1,E02
2025-06-10T23:26:09.638265,E,23,1,E02
2025-06-10T23:27:37.281520,A,23,1,A09
2025-06-10T23:27:41.583726,A,23,1,A09
2025-06-10T23:27:42.374093,A,23,1,A09
